player,rumoured_club,successful
Daniel Lee Rose,Sunderland AFC,True
Georginio Wijnaldum,Newcastle United F.C.,True
Paul Scharner,Sunderland AFC,False
Eiður Guðjohnsen,Seattle Sounders FC,False
Tommaso Rocchi,Inter Milan,False
Ilombe Mboyo,Valencia CF,False
Heurelho da Silva Gomes,PSV Eindhoven,True
Alexandru Iulian Maxim,VfB Stuttgart,True
Wilson Palacios,Aston Villa F.C.,False
Carles Puyol Saforcada,A.C. Milan,False
Roman Nikolayevich Shirokov,Dynamo Kyiv,False
Andreas Granqvist,SS Lazio,False
Sebastián Coates,West Bromwich Albion F.C.,False
Eliaquim Mangala,Chelsea,False
Ádám Szalai,FC Schalke 04,True
Filip Twardzik,S.L. Benfica,False
Jacques-Alaixys Romao,Olympique de Marseille,True
Jake Livermore,Queens Park Rangers,False
Iago Aspas,Chelsea,False
FC Flyeralarm Admira,FC Wacker Innsbruck,False
Sergio Escudero,Getafe,False
Leandro de Deus Santos,A.C. Milan,False
Bastian Schweinsteiger,Real Madrid C.F.,False
Michael Essien,Arsenal F.C.,False
Florian Hübner,MSV Duisburg,False
Christian Benteke Liolo,Manchester City F.C.,False
Vegard Forren,Liverpool F.C.,False
Michel Bastos,FC Schalke 04,True
Joan Isaac Cuenca López,Valencia CF,False
Kévin Gameiro,Valencia CF,False
Sebastián Coates,Queens Park Rangers,False
Georgios Karagounis,Fulham F.C.,True
Jonathan Williams,Arsenal F.C.,False
Manchester City F.C.,Stoke City,False
M'Baye Niang,Everton,False
Joshua Mark McEachran,Wolverhampton Wanderers F.C.,False
Pape Amodou Sougou,Olympique de Marseille,True
Tendayi Darikwa,Everton,False
Nicklas Bendtner,Beşiktaş,False
Niko Kranjčar,Beşiktaş,False
James McFadden,Sunderland AFC,True
Jérémy Ménez,Monaco F.C.,True
Felipe Santana,FC Schalke 04,True
Diego Roberto Godín Leal,Manchester City F.C.,False
Edinson Cavani,Real Madrid C.F.,False
Kevin De Bruyne,OFK Bor,False
Joleon Lescott,Everton,True
Welliton Soares de Morais,Flamengo,False
Josmer Volmy Altidore,FC Schalke 04,False
Edgar Prib,Hannover 96,True
Anthony Jung,MSV Duisburg,False
Juan Pablo Carrizo,Inter Milan,True
Jeremain Marciano Lens,Dynamo Kyiv,True
Étienne Capoue,Paris Saint-Germain,False
Álvaro Pereira,Napoli,False
Giovani dos Santos,ACF Fiorentina,False
Josmer Volmy Altidore,SS Lazio,False
Juventus,Fernando Llorente,False
Kevin Cyril Davies,Toronto FC,False
Danko Lazović,PAOK FC,False
Djamel Mesbah,Parma,False
Younès Belhanda,Aston Villa F.C.,False
Mario Gómez García,Manchester City F.C.,False
Kieron Courtney Dyer,Middlesbrough F.C.,True
Igor de Camargo,Fulham F.C.,False
Danny Graham,Sunderland AFC,True
Radamel Falcao,Manchester City F.C.,False
Ibrahim Afellay,Zenit Saint Petersburg,False
Júlio César Soares de Espíndola,Arsenal F.C.,False
Timothy Filiga Cahill,Sunderland AFC,False
Geoffrey Agundogbia S.P,Manchester City F.C.,False
Iago Aspas,Valencia CF,False
Lewis Harry Holtby,Bayern Munich,False
Tiago Abiola Delfim Almeida Ilori,Valencia CF,False
Ryan Babel,ACF Fiorentina,False
Federico Fazio,TSG 1899 Hoffenheim,False
McDonald Mariga Wanyama,Parma,False
Alexander Büttner,Fulham F.C.,False
Ákos Buzsáky,Nottingham Forest F.C.,False
John Carew,Inter Milan,False
Maximilian Kruse,OFK Bor,False
Luc Castaignos,Twente,True
Stefano Sorrentino,Palermo,True
Sébastien Corchia,Arsenal F.C.,False
Leon Goretzka,FC Schalke 04,True
Stanislav Manolev,Fulham F.C.,True
Valentin Stocker,OFK Bor,False
Nathaniel Clyne,Southampton F.C.,True
Bilel Mohsni,Ipswich Town F.C.,True
Robbie Thomas Kruse,Bayer 04 Leverkusen,True
Roque Santa Cruz,Flamengo,False
Emmanuel Mayuka,Southampton F.C.,True
Rafinha,Sport Club Internacional,False
Lisandro López,Juventus,False
Jack Butland,Chelsea,False
Emile William Ivanhoe Heskey,Newcastle United F.C.,False
Fernando Rubén Gago,Valencia CF,True
Carlos Vela,Real Sociedad,True
Andreas Granqvist,Dynamo Kyiv,False
Sébastien Corchia,Bayern Munich,False
Virgil van Dijk,Everton,False
Carlos Tevez,A.C. Milan,False
Curtis Eugene Davies,Wolverhampton Wanderers F.C.,False
Vladimir Gadzhev,A.C. ChievoVerona,False
Robert Lewandowski,Bayern Munich,True
Luis Alberto Romero,Liverpool F.C.,True
Piotr Zieliński,Manchester City F.C.,False
David Marcelo Pizarro Cortés,River Plate,False
David Marcelo Pizarro Cortés,ACF Fiorentina,True
Pablo Daniel Osvaldo,ACF Fiorentina,True
Geoffrey Scott Cameron,Stoke City,True
Zdravko Kuzmanović,Inter Milan,True
Julien Escudé,Beşiktaş,True
Nikola Žigić,RCD Mallorca,False
Osvaldo Nicolás Fabián Gaitán,Bayer 04 Leverkusen,False
Clint Dempsey,Tottenham Hotspur,True
Willy Boly,FC Dynamo Moscow,False
Luciano Narsingh,PSV Eindhoven,True
Artur Guilherme Moraes Gusmão,Queens Park Rangers,False
Eljero George Rinaldo Elia,Sportfreunde Siegen,True
Adel Taarabt,A.C. Milan,True
Dimitri Payet,Olympique de Marseille,True
Ezequiel Garay,Real Madrid C.F.,True
Cristian Tello Herrera,FC Schalke 04,False
Marouane Chamak,Blackburn Rovers,False
Thorgan Ganael Francis Hazard,R.S.C. Anderlecht,False
Chris Gunter,Reading F.C.,True
Mats Hummels,Arsenal F.C.,False
Diego Martín Novaretti,Manchester City F.C.,False
Mauro Icardi,Inter Milan,True
Alberto Costa,Spartak Moscow,True
Jores Okore,S.L. Benfica,False
Salif Sané,Sunderland AFC,False
Ander Herrera,FC Barcelona,False
Rubén Olivera,Genoa C.F.C.,False
Brayan Perea,SS Lazio,True
Marquinhos,FC Barcelona,False
Nigel Reo-Coker,Ipswich Town F.C.,True
Giovani dos Santos,Málaga,False
Salomon Armand Magloire Kalou,Queens Park Rangers,False
Yann M'Vila,Fulham F.C.,False
Andy Carroll,Fulham F.C.,False
Claudio Ariel Yacob,West Bromwich Albion F.C.,True
Tom Rogic,Reading F.C.,False
Danny Collins,Nottingham Forest F.C.,True
Angelo Ogbonna,A.C. Milan,False
Mattia Destro,Juventus,False
Godsway Donyoh,Manchester City F.C.,True
Jeff Hendrick,Aston Villa F.C.,False
Philippe Coutinho Correia,Liverpool F.C.,True
Marat Nailevich Izmailov,FC Porto,True
Jonathan Williams,Manchester City F.C.,False
Victor Wanyama,Southampton F.C.,True
Lucas Digne,Paris Saint-Germain,True
Niko Kranjčar,Queens Park Rangers,True
Obafemi Martins,Seattle Sounders FC,True
Timothy Filiga Cahill,New York Red Bulls,True
Aly Cissokho,Tottenham Hotspur,False
Felipe Melo,VfL Wolfsburg,False
Alexander Büttner,Southampton F.C.,False
Steven N'Kemboanza Mike,Sunderland AFC,False
Georges Constant Mandjeck,Kayseri Erciyesspor,True
Daniel Alves da Silva,Monaco F.C.,False
Welliton Soares de Morais,Grêmio,True
Moussa Dembélé,Manchester United,False
Sebastian Boenisch,Stoke City,False
Steven Fletcher,Sunderland AFC,True
Daniel Caligiuri,VfL Wolfsburg,True
Aaron Cresswell,Aston Villa F.C.,False
Dieumerci Mbokani,Dynamo Kyiv,True
James McCarthy,Everton,True
Adam Maher,Manchester City F.C.,False
Carlos Javier Cuéllar Jiménez,Sunderland AFC,True
Vegard Forren,Everton,False
Sébastien Corchia,A.C. Milan,False
Federico Fazio,Zenit Saint Petersburg,False
Mario Sampirisi,Manchester United,False
Carlos Eduardo de Oliveira Alves,FC Schalke 04,False
Daniel Van Buyten,Monaco F.C.,False
Daniel Filipe Martins Carriço,Reading F.C.,True
Nicklas Bendtner,A.C. Milan,False
Vágner Love,CSKA Moscow,True
Ibrahim Sissoko,PAOK FC,False
Mattia Destro,Roma,True
Danny Graham,Reading F.C.,False
Ishak Belfodil,Napoli,False
Michael Essien,Real Madrid C.F.,True
Jermaine Anthony Jenas,Nottingham Forest F.C.,True
Marco Borriello,Tottenham Hotspur,False
Ben Marshall,West Bromwich Albion F.C.,False
Moritz Leitner,Bayer 04 Leverkusen,False
Asmir Begović,Manchester United,False
Arjen Robben,Manchester City F.C.,False
Stephen Dobbie,Crystal Palace,True
Dwight Gayle,Aston Villa F.C.,False
Mattia Perin,Manchester City F.C.,False
Rasmus Christoffer Elm,Arsenal F.C.,False
Rory John Delap,Barnsley F.C.,True
Antolín Alcaraz,Everton,True
Jeffrén,Everton,False
Henrikh Mkhitaryan,Chelsea,False
Vegard Forren,Manchester United,False
Dries Mertens,Napoli,True
Mauro Matías Zárate Riga,Sunderland AFC,False
Jack Butland,Liverpool F.C.,False
Dazet Wilfried Armel Zaha,Arsenal F.C.,False
Hernanes,Paris Saint-Germain,False
Matías Ezequiel Suárez,CSKA Moscow,False
Oliver John Bozanic,FC Luzern,True
Kolo Touré,Bursaspor,False
Henrikh Mkhitaryan,Liverpool F.C.,False
Esteban Granero,Real Betis,False
Domenico Berardi,Manchester United,False
Pejman Montazeri,Qatar Sports Club,False
Thomas Vermaelen,Bayern Munich,False
Eljero George Rinaldo Elia,CSKA Moscow,False
Daniel Schwaab,VfB Stuttgart,True
Jordan Rhodes,Reading F.C.,False
Lewis Harry Holtby,Tottenham Hotspur,True
Moritz Leitner,OFK Bor,False
Younès Belhanda,Inter Milan,False
Paolo Guerrero,Corinthians,True
Lucas Rodrigues Moura da Silva,Paris Saint-Germain,True
Robert Acquafresca,Levante UD,True
Alberto Tomás Botía Rabasco,Sevilla FC,True
Florian Thauvin,Arsenal F.C.,False
Yacine Brahimi,CSKA Moscow,False
Alessandro Del Piero,Olympiacos,False
Beñat Etxebarria Urkiaga,Athletic Club,True
Moritz Leitner,Sportfreunde Siegen,False
Massimo Ambrosini,ACF Fiorentina,True
Ashley Cole,Manchester United,False
Paul Scharner,Hamburger SV,True
Gareth Frank Bale,Real Madrid C.F.,True
John Mensah,Celtic F.C.,False
Manchester City F.C.,Stoke City,False
Dirk Jan Klaas Huntelaar,Arsenal F.C.,False
M'Baye Niang,Chelsea,False
Scott Andrew Sinclair,Aston Villa F.C.,True
Marquinhos,Real Madrid C.F.,False
Sarkis Grachyayevich Baloyan,FC Pyunik,True
Sokratis Papastathopoulos,Juventus,False
Abdelaziz Barrada,Valencia CF,False
Hatem Ben Arfa,Monaco F.C.,False
Yann M'Vila,Queens Park Rangers,False
Heurelho da Silva Gomes,TSG 1899 Hoffenheim,True
Cristiano Ronaldo dos Santos Aveiro,Chelsea,False
Rasmus Christoffer Elm,CSKA Moscow,True
Kévin Gameiro,Aston Villa F.C.,False
Nahki Wells,Huddersfield Town,True
Javier Alejandro Mascherano,Napoli,False
Kolo Touré,Liverpool F.C.,True
Anthony Modeste,Hannover 96,False
Andriy Mykolayovych Yarmolenko,Real Madrid C.F.,False
Stoppila Sunzu,Sunderland AFC,False
Mohamed Lamine Sissoko Gillan,ACF Fiorentina,True
Anthony Annan,Aston Villa F.C.,False
Arouna Koné,Hannover 96,True
Wayne Rooney,Bayern Munich,False
Haris Seferović,Villarreal,False
Hugo Lloris,Tottenham Hotspur,True
Sam Byram,West Bromwich Albion F.C.,False
Kevin Strootman,Arsenal F.C.,False
Álvaro Negredo Sánchez,OFK Bor,False
Ashley Darel Jazz Richards,Crystal Palace,True
Pedro Tonon Geromel,Wolverhampton Wanderers F.C.,False
David Henen,OFK Bor,False
Mario Erb,SpVgg Unterhaching,True
Curtis Eugene Davies,Reading F.C.,False
Ignazio Abate,Zenit Saint Petersburg,False
Joselu,TSG 1899 Hoffenheim,True
Scott Andrew Sinclair,Everton,False
Shaun Maloney,Sunderland AFC,False
Muamer Svraka,Maccabi Haifa,False
Moussa Dembélé,Real Madrid C.F.,False
Roque Santa Cruz,FC Schalke 04,False
Joleon Lescott,Aston Villa F.C.,True
Federico Macheda,Elche FC,False
Jimmy Briand,Monaco F.C.,False
Ryan Shawcross,Manchester City F.C.,False
Dedryck Boyata,Twente,True
Francisco Román Alarcón Suárez,Manchester United,False
Alessio Cerci,A.C. Milan,True
Yohan Cabaye,FC Barcelona,False
Jeroen Lumu,Fulham F.C.,False
Moussa Sissoko,Sunderland AFC,False
Neymar,Manchester City F.C.,False
Brandon Fernandes,Reading F.C.,False
Cheick Tioté,Arsenal F.C.,False
Fernandinho,Manchester City F.C.,False
Kevin Antonio Joel Gislain Mirallas y Castillo,Arsenal F.C.,False
Aurélien Chedjou,Valencia CF,False
Enzo Maresca,Sampdoria,True
Joan Verdú,Olympiacos,False
John Verhoek,SpVgg Greuther Fürth,False
Gerard Deulofeu Lázaro,Liverpool F.C.,False
Óliver Torres Muñoz,Manchester City F.C.,False
Sébastien Bassong,Norwich City F.C.,True
Sébastien Squillaci,F.C. Sion,False
Héctor Miguel Herrera López,Manchester United,False
Jonathan Simon Woodgate,Middlesbrough F.C.,True
Nilmar,Al-Rayyan Sports Club,False
Francisco Román Alarcón Suárez,Real Madrid C.F.,True
Luka Modrić,Real Madrid C.F.,True
David Luiz Moreira Marinho,FC Barcelona,False
Mike van der Hoorn,AFC Ajax,True
Tom Huddlestone,Stoke City,False
Jordy Clasie,ACF Fiorentina,False
George Andrew Jordan Friend,West Bromwich Albion F.C.,False
Jesús Navas González,Manchester City F.C.,True
Emmanuel Frimpong,Fulham F.C.,True
Hélder Jorge Leal Rodrigues Barbosa,Celtic F.C.,False
Julian Schauerte,MSV Duisburg,False
Gerard Deulofeu Lázaro,OFK Bor,False
Adriano Vieira Louzada,Bayern Munich,False
Johan Danon Djourou-Gbadjere,Napoli,False
Aiden McGeady,Everton,True
Gerard Deulofeu Lázaro,Manchester City F.C.,False
Wesley Sneijder,Chelsea,False
Peter James Crouch,Queens Park Rangers,True
Loukas Vyntra,Levante UD,True
Lucas Rodrigo Biglia,Napoli,False
Ibrahima Traoré,Olympique de Marseille,False
Marc Muniesa,AFC Ajax,False
James McCarthy,Manchester United,False
(吉田麻也),Southampton F.C.,True
Eliaquim Mangala,FC Barcelona,False
Edin Džeko,OFK Bor,False
Attila Filkor,Rayo Vallecano,False
Darius Henderson,Nottingham Forest F.C.,True
Jonas Olsson,Queens Park Rangers,False
Rubén García,Arsenal F.C.,False
Dedé,Manchester United,False
Daniel Agger,FC Barcelona,False
Marco Andreolli,Inter Milan,True
Yacine Brahimi,Aston Villa F.C.,False
Sergio Araujo Genio,FC Barcelona,False
Gordon Schildenfeld,PAOK FC,False
Moussa Sow,Tottenham Hotspur,False
Lisandro López,S.L. Benfica,False
Amine Linganzi,Portsmouth F.C.,True
Derek Boateng,Olympiacos,False
Louis Saha,SS Lazio,True
Nigel de Jong,Inter Milan,False
Scott Dann,Southampton F.C.,False
André Horst Schürrle,Chelsea,True
Omar Abdulrahman,Manchester City F.C.,False
Novothny Soma,Watford F.C.,False
Mapou Yanga-Mbiwa,A.C. Milan,False
Bernard Malanda-Adje,Fulham F.C.,False
Djibril Cissé,Al-Gharafa,True
Kyle Walker,Real Madrid C.F.,False
Júlio César Soares de Espíndola,A.C. Milan,False
Mario Götze,Manchester City F.C.,False
Jeffrey Kevin van Homoet Bruma,PSV Eindhoven,True
Balázs Megyeri,Everton,False
Marouane Fellaini-Bakkioui,Arsenal F.C.,False
Adrian Mariappa,Reading F.C.,True
Moussa Sissoko,Olympique de Marseille,False
Robert Acquafresca,Levante UD,True
Víctor Valdés,Monaco F.C.,False
Diego da Silva Costa,Beşiktaş,False
Heurelho da Silva Gomes,A.C. Milan,False
André Santos,Grêmio,True
John Guidetti,Sunderland AFC,False
Danijel Pranjić,Everton,False
Jack Butland,Stoke City,True
Ronny Garbuschewski,RB Leipzig,False
Gianluca Sansone,U.S. Sassuolo Calcio,True
Marc Schnatterer,RB Leipzig,False
Louis Saha,Sunderland AFC,True
Mathieu Bodmer,Saint-Étienne,True
Cristian Tello Herrera,Arsenal F.C.,False
Lorenzo Melgarejo,Arsenal F.C.,False
Oussama Assaidi,Liverpool F.C.,True
Miguel Veloso,Dynamo Kyiv,True
Anass Achahbar,Chelsea,False
Asmir Begović,Liverpool F.C.,False
Edinson Cavani,Real Madrid C.F.,False
Fernando Llorente,Arsenal F.C.,False
Richard Patrick Dunne,Celtic F.C.,False
Mapou Yanga-Mbiwa,Newcastle United F.C.,True
Grzegorz Fonfara,Zawisza Bydgoszcz,False
Álvaro Negredo Sánchez,Everton,False
Sascha Riether,VfB Stuttgart,False
Santi Cazorla,Arsenal F.C.,True
Luke Paul Hoare Shaw,Chelsea,False
Xabi Alonso,Chelsea,False
Nikola Žigić,RCD Mallorca,False
Maksym Anatoliyovych Koval,FC Barcelona,False
Johan Danon Djourou-Gbadjere,Hannover 96,True
Kévin Gameiro,OFK Bor,False
João Moutinho,Monaco F.C.,True
Stéphane Ruffier,Arsenal F.C.,False
Emanuel Pogatetz,Aston Villa F.C.,False
Nani,Real Madrid C.F.,False
Hugo Armando Campagnaro,Inter Milan,False
Kevin Antonio Joel Gislain Mirallas y Castillo,Everton,True
Alou Diarra,Stade Rennais,True
Nigel de Jong,A.C. Milan,True
Carlos Bacca,Valencia CF,False
Mario Gómez García,Juventus,False
Tiago Abiola Delfim Almeida Ilori,Liverpool F.C.,True
Rob Hulse,Millwall F.C.,True
Tom Weilandt,SpVgg Greuther Fürth,True
Romelu Lukaku,OFK Bor,False
Andrei Arshavin,Fulham F.C.,False
Tom Rogic,Celtic F.C.,True
Rod Fanni,Stoke City,False
Júlio César Soares de Espíndola,Queens Park Rangers,True
Florian Thauvin,Lille Olympique Sporting Club,True
Eyong Tarkang Enoh,Fulham F.C.,True
Carlos Vela,Roma,False
Valon Behrami,Napoli,True
Mats Hummels,FC Barcelona,False
Asmir Begović,FC Barcelona,False
Diego Mario Buonanotte Rende,Palermo,False
Pepe Reina,FC Barcelona,True
Erik Pieters,Stoke City,True
Domenico Berardi,Manchester City F.C.,False
David Villa Sánchez,Juventus,False
Benjamin Köhler,1. FC Union,True
Alessandro Del Piero,F.C. Sion,False
Francisco Jiménez Tejada,Córdoba CF,True
Robert Lewandowski,Manchester City F.C.,False
Marouane Fellaini-Bakkioui,Manchester United,True
Mattia Destro,Inter Milan,True
Jermain Defoe,Sunderland AFC,True
M'Baye Niang,A.C. Milan,True
Cristiano Ronaldo dos Santos Aveiro,Monaco F.C.,False
Marouane Chamak,ACF Fiorentina,False
Florent Malouda,Queens Park Rangers,False
Sébastien Corchia,FC Schalke 04,False
Bafétimbi Gomis,Fulham F.C.,False
Duvier Riascos,VfB Stuttgart,False
Nick Proschwitz,Hull City F.C.,True
Taison,Chelsea,False
Derek Boateng,Aston Villa F.C.,False
Gökhan Töre,Rubin Kazan,True
Luis Fernando Garrido,Red Star Belgrade,True
Ryan Babel,Real Betis,False
Simon Richard Cox,Nottingham Forest F.C.,True
Vicente Guaita,FC Barcelona,False
Roque Santa Cruz,Hamburger SV,False
Sebastian Giovinco,Juventus,True
David Villa Sánchez,Manchester City F.C.,False
Kaka,Manchester United,False
Simon Zoller,1. FC Union,False
John Guidetti,Sevilla FC,False
Jeroen Lumu,Aston Villa F.C.,False
Jefferson Farfán,Jefferson Farfán,False
Jérémy Mathieu,FC Barcelona,True
Gonzalo Gerardo Higuaín,Arsenal F.C.,False
Alan Hutton,RCD Mallorca,True
Leon Goretzka,OFK Bor,False
Jamie Ness,Stoke City,True
Marlon King,Wolverhampton Wanderers F.C.,False
Dazet Wilfried Armel Zaha,Manchester United,True
Axel Witsel,Zenit Saint Petersburg,True
Francesco Lodi,A.C. Milan,False
Nicklas Bendtner,OFK Bor,False
Colin Kazim-Richards,Bursaspor,True
Omar Kossoko,Bristol City F.C.,False
Sergi Canos Tenés,Liverpool F.C.,True
Moussa Sissoko,VfL Wolfsburg,False
Leigh Griffiths,Hibernian F.C.,True
Stewart Downing,Middlesbrough F.C.,True
Stanislav Manolev,VfB Stuttgart,False
Stephen Dobbie,Middlesbrough F.C.,False
Michael Sheehan Bradley,Roma,True
Jelle Vossen,Sunderland AFC,False
Loukas Vyntra,Levante UD,True
Lars Bender,Bayern Munich,False
Arturo Erasmo Vidal Pardo,Manchester United,False
Julian Draxler,Bayern Munich,False
Andrei Arshavin,Reading F.C.,False
André Morgan Rami Ayew,Inter Milan,False
Yura Movsisyan,Spartak Moscow,True
Colin Kazim-Richards,Blackburn Rovers,True
Rasmus Christoffer Elm,Hamburger SV,False
Robert Lewandowski,Juventus,False
Daniel Parejo Muñoz,Bayern Munich,False
Simon Luc,Liverpool F.C.,True
Filip Hološko,Trabzonspor,False
Lucas Orbán,Sunderland AFC,False
Markus Rosenberg,West Bromwich Albion F.C.,True
Lamine Diarra,Spartak Moscow,False
Medó,Bolton Wanderers F.C.,True
Christian Benteke Liolo,OFK Bor,False
Sokratis Papastathopoulos,OFK Bor,False
Felix Wiedwald,Karlsruher Sport-Club,False
Igor Denisov,Arsenal F.C.,False
Vito Mannone,Hull City F.C.,True
Nelson Valdez,Valencia CF,True
Roberto Lago,Getafe,True
Cléber Santana,Basel,False
Carl Daniel Jenkinson,Manchester City F.C.,False
Carlo Cudicini,Los Angeles Galaxy,True
Daniel Pacheco,Huesca,True
Jeffrey Schlupp,Manchester United,False
Javi Martínez,FC Barcelona,False
Davide Santon,Zenit Saint Petersburg,False
Adam James Hammill,Nottingham Forest F.C.,False
Luis Fariña,CSKA Moscow,False
Marco Verratti,A.C. Milan,False
Ron Peter Vlaar,Aston Villa F.C.,True
Ashley Cole,Paris Saint-Germain,False
Federico Macheda,VfB Stuttgart,True
Ángelo José Henríquez Iturra,Wigan Athletic F.C.,True
